timestamp;query;course;misalignment
none;Qu'est-ce qu'une architecture 2-tiers?;lecture_software_architecture,lecture_technical_architecture;non
none;Dans le cours, on parle de service et de micro-service. Quelle différence entre les deux et comment savoir s'il faut développer un service ou un micro-service?;lecture_software_architecture;non
none;Qu'est-ce qu'un patron de conception ?;lecture_software_architecture;non
none;Qu'est-ce que le patron MVC?;lecture_software_architecture;non
none;Donne moi le nom de quelques patrons de conception;lecture_software_architecture;non
none;Explique moi avec des exemples ce que c'est la sérialisation/désérialisation;lecture_dto;non
none;Donne moi le nom de quelques langages communément utilisés pour sérialiser/désérialiser des objets;lecture_dto;non
none;Que veut dire l'acronyme DTO?;lecture_dto;non
none;Quelles sont les trois couches fonctionnelles qui structurent le code d'une application Web Spring?;lecture_mvc_spring;non
none;Qu'est-ce que c'est la couche applicative d'une application Spring?;lecture_mvc_spring;non
none;Quelle est la différence entre @Controller et @RestController?;lecture_mvc_spring;non
none;A quoi sert l'annotation @RequestMapping dans un contrôleur Spring?;lecture_mvc_spring,practice_spring,practice_spring_2tiers;non
none;Dans quelle couche fonctionnelle d'une application Spring est utilisé le modèle MVC?;lecture_mvc_spring;non
none;Dis moi comment associer une méthode d'un contrôleur Spring avec une URL d'une page Web;lecture_mvc_spring,practice_spring,practice_spring_2tiers;non
none;Pourquoi les contrôleurs Spring n'utilisent pas directement  les méthodes des DAO ?;lecture_mvc_spring,practice_spring_2tiers;non
none;Rappele moi le nom de l'application qui permet d'accéder au contenu d'une base de données PostGreSQL;practice_spring_2tiers;non
none;Quelle est l'utilité des templates Thymeleaf ?;practice_spring,practice_spring,lecture_mvc_spring,practice_spring_2tiers;non
none;Pourquoi l'annotation @Transactional est nécessaire pour certaines méthodes?;practice_spring_2tiers;non
none;Quel est le fichier qui contient les informations de connexion à la base de données en JPA/Spring?;lecture_jpa;non
none;Quelle annotation JPA permet de modifier le nom de la colonne qui mappe un attribut d'une entité?;lecture_jpa;non
none;Que veut dire qu'une instance d'une entité est détachée de l'entity manager?;lecture_jpa;non
none;Quel est le rôle d'un ORM dans une application ?;lecture_jpa;non
none;Quelle est la méthode JPA qui permet d'instancier une entité et initialiser ses attributs avec des valeurs de la base de données ?;lecture_jpa;non
none;Comment faire en sorte que la base de données ne soit pas réinitialisée à chaque démarrage de l'application ?;practice_jpa;non
none;Comment indique-t-on dans le java qu'un attribut de classe correspond à une clé primaire autoincrémentée ?;practice_jpa;non
none;Où doit-on définir les méthodes CRUD d'une entité ?;practice_jpa;non
none;Quelles annotations permettent de définir des associations entre classes ?;practice_jpa;non
none;Est-ce que l'annotation @Column est indispensable pour indiquer qu'une propriété java doit être persistée ?;practice_jpa;non
none;Quel est la classe Java qui gère la persistance des objets Java ?;practice_jpa_advanced;non
none;Comment indiquer une récupération différée des objets liés à une classe ?;practice_jpa_advanced;non
none;Quels sont les différents états d'un objet géré par l'entity manager ?;practice_jpa_advanced;non
none;Quelle est la différence entre merge et persist ?;practice_jpa_advanced;non
none;Quel est le lien entre contexte transactionnel et EntityManager ?;practice_jpa_advanced;non
none;Quelle est la différence entre @Controller et @RestController ?;practice_spring_2tiers_ext;non
none;Peux-tu me rappeler le nom d'un serveur d'application pour déployer une application Spring ?;practice_spring_2tiers_ext;non
none;Peux-tu me dire comment associer une url à une méthode du contrôleur et indiquer qu'il attend un paramètre nommé city de type String par GET ?;practice_spring_2tiers_ext;non
none;Comment configurer un pom.xml pour effectuer un déploiement sur un serveur Wildfly ?;practice_spring_2tiers_ext;non
none;Est-ce que JSON est un langage approprié pour représenter un DTO ?;practice_spring_2tiers_ext;non
2026-02-16 13:14:24;comment identifier les dépendances fonctionnelles élémentaires et directes;lecture_normalization,activity_normalization;non
2026-02-16 13:15:03;donne moi les dépendances fonctionnelles pour la relation universelle suivante : {idCompetition, nomCompetition, debut, fin, idEpreuve, nomEpreuve, categorie, ville, idAthlete, nomAthlete, nationalite, perf, class;lecture_normalization,activity_normalization;non
2026-02-16 13:20:29;comment puis je identifier une clé primaire d'une table ?;lecture_normalization,activity_normalization;non
2026-02-16 13:24:30;Qu'est ce qu'un schéma logique ?;lecture_conceptual_modeling,activity_conceptual_modeling;non
2026-02-16 13:08:27;Qu'est ce qu'une dependance fonctionelle;lecture_normalization,activity_normalization;non
2026-02-16 13:22:32;regle de derivation d'un schéma conceptuel;lecture_conceptual_modeling,activity_conceptual_modeling,activity_conceptual_modeling_advanced;non
2026-02-16 13:47:35;Dans mon projet, j'ai deux entité: player et team, une equipe contient plusieurs joueurs, quelle annotation je dois utiliser pour lié les deux classes java dans mon repertoire entity ?;lecture_jpa,practice_jpa;non
2026-02-16 14:49:28;Comment choisir la clé primaire d'une relation universelle ?;lecture_normalization,activity_normalization;non
2026-02-16 14:50:38;comment faire un insert simple en sql;activity_sql,practice_sql;non
2026-02-16 13:19:36;Qu'est-ce que la règle de dérivation d'un schéma conceptuel;lecture_conceptual_modeling,activity_conceptual_modeling,activity_conceptual_modeling_advanced;non
2026-02-16 14:49:28;Comment choisir la clé primaire d'une relation universelle ?;lecture_normalization,activity_normalization;non
2026-02-16 15:29:46;comment choisir les cles candidats dans une base des donnees;lecture_normalization,activity_normalization,activity_relational_model;non
2026-02-16 14:27:52;comment supprimer une entrée d'une table;activity_sql,practice_sql,practice_advanced_sql;non
2026-02-16 13:16:14;Peux-tu me lister tous les types de dérivation possibles lorsque l'on passe d'un schéma conceptuel à un schéma logique ?;lecture_conceptual_modeling;non
2026-02-16 13:52:04;A quoi sert l'annotation JoinColumn;lecture_jpa,practice_jpa;non
2026-02-16 13:52:14;quelles sont les annotations nécessaires pour qu'une classe entitry soient persistées dans le base de données;lecture_jpa,practice_jpa;non
2026-02-16 13:54:53;comment uiliser l'annotation Id;lecture_jpa,practice_jpa;non
2026-02-16 13:55:01;En l’absence d’annotation, un attribut d’une classe annotée @Entity est-il persisté ? Si oui, comment on indique à Hibernate qu’un attribut ne doit pas l’être ?;lecture_jpa,practice_jpa;non
2026-02-16 13:58:12;"@GeneratedValue(strategy = GenerationType.IDENTITY) explique moi cette ligne";lecture_jpa,practice_jpa;non
2026-02-16 14:10:20;Quelle est la méthode de CrudRepository permettant de recupérer tous les elements present;lecture_jpa_repository,practice_jpa,lecture_jpa;non
2026-02-16 14:32:08;donne un exemple de one to many;lecture_jpa,practice_jpa;non
2026-02-16 14:38:28;comment rajouter cette méthode findall dans le repository;lecture_jpa_repository,practice_jpa;non
2026-02-16 14:43:03;qu'est ce que c'est les annotations dans le code java pour faire les relations entre les entités ? ;lecture_jpa,practice_jpa;non
2026-02-16 14:23:35;comment créer une classe héritant de CrudRepository pour Team;lecture_jpa_repository;non
2026-02-16 14:55:25;comment utiliser le MappedBy ?;lecture_jpa,practice_jpa;non
2026-03-23 13:08:02;comment décomposer une relation universelle en ensemble de relation de seconde forme normale;activity_decomposition,lecture_modeling_normalization,lecture_normalization;non
2026-03-23 13:10:03;est ce que Hibernate est une implémentation concrète de JPA.;lecture_jpa;non
2026-03-23 13:10:16;Les composants annotés @Repository sont responsables de la gestion de la persistance des données.;lecture_jpa_repository;non
2026-03-23 13:18:21;L’annotation @Entity sert à marquer une classe Java comme une table en base de données. vrai ou faux;lecture_jpa;non
2026-03-23 13:19:44;L’annotation @Id indique quel attribut de la classe est utilisé comme clé primaire dans la table correspondante. vrai ou faux;lecture_jpa,practice_jpa;non
2026-03-23 13:11:31;est ce que Avec JPA, les requêtes permettant de rendre persistantes les données de l'application sont écrites dans le code Java afin de lier le code et la BD.;lecture_jpa,activity_jpa,lecture_jpa_repository;non
2026-03-23 13:17:14;JPA est une API qui spécifie les méthodes disponibles pour gérer la persistance des objets. vrai ou faux;lecture_jpa;non
2026-03-23 13:26:06;Peut-on définir JPA comme une API qui spécifie les méthodes disponibles pour gérer la persistance des objets ?;lecture_jpa;non
2026-03-23 13:42:37;je souahite ajouter un élément grâce au répository, comment s'y prendre;lecture_jpa_repository;non
2026-03-23 13:45:36;Comment fonctionne le @JoinColumn ? Et quand l'utiliser;lecture_jpa,practice_jpa,lecture_jpa_repository_advanced;non
2026-03-23 14:19:25;explique les onetomany et manytoone;lecture_jpa,practice_jpa;non
none;A quoi sert le principe de séparation de responsabilités?;lecture_technical_architecture;non
none;Dans une architecture N-tiers, le nombre de clients est limité au nombre de tiers. Comment adapter dynamiquement le nombre de tiers au nombre de clients?;lecture_technical_architecture;non
none;Comment sérialiser les méthodes d'une classe?;lecture_dto;non
none;Quelle est l'utilité de l'annotation @Entity dans une application Spring?;lecture_mvc_spring;non
none;Quel est l'intérêt d'utiliser le patron DAO dans la couche données d'une application Spring?;lecture_mvc_spring;non
none;Qu'est-ce que le patron MVC?;lecture_mvc_spring;non
none;Qu'est-ce qu'une architecture technique?;lecture_technical_architecture;non
none;Qu'est-ce qu'est le patron DAO ?;lecture_mvc_spring;non
none;Que veut dire CRUD ?;lecture_software_architecture,practice_spring_2tiers;non
none;Qu'est-ce qu'une architecture 2-tiers?;lecture_technical_architecture,practice_spring_2tiers_ext,lecture_software_architecture;non
none;Qu'est-ce que c'est la couche applicative d'une application Spring?;lecture_mvc_spring,lecture_software_architecture;non
none;Quelles sont les trois couches fontionnelles qui structurent le code d'une application Web Spring?;lecture_mvc_spring,lecture_software_architecture;non
none;Comment indique-t-on dans le java qu'un attribut de classe correspond à une clé primaire autoincrémentée ?;lecture_jpa,practice_jpa;non
none;Où doit-on définir les méthodes CRUD d'une entité ?;lecture_jpa_repository,practice_jpa;non
none;C'est quoi une architecture multi-tiers ?;lecture_technical_architecture,lecture_software_architecture;non
none;Quelles sont les trois couches fontionnelles qui structurent le code d'une application Web Spring?;lecture_mvc_spring,lecture_software_architecture,practice_spring_2tiers_ext;non
none;Pourquoi a-t-on besoin d'un serveur d'application ?;lecture_technical_architecture,web_architecture_home;non
none;C'est quoi un ORM ?;lecture_jpa,lecture_jpa_repository;non
none;À quoi sert JPA ?;lecture_jpa,lecture_jpa_repository;non
timestamp;query;course;misalignment
none;Qu'est-ce qu'une architecture 2-tiers?;practice_spring_microservices;oui
none;Qu'est-ce qu'une architecture 2-tiers?;practice_spring_microservices_3;oui
none;Qu'est-ce qu'une architecture 2-tiers?;practice_spring_microservices_2;oui
none;Quelle est la différence entre une classe et un composant?;practice_spring_microservices;oui
none;Quelle est la différence entre une classe et un composant?;practice_spring_microservices_3;oui
none;Quelle est la différence entre une classe et un composant?;practice_spring_microservices_2;oui
none;Dans le cours, on parle de service et de micro-service. Quelle différence entre les deux et comment savoir s'il faut développer un service ou un micro-service?;practice_spring_microservices;oui
none;Dans le cours, on parle de service et de micro-service. Quelle différence entre les deux et comment savoir s'il faut développer un service ou un micro-service?;practice_spring_microservices_3;oui
none;Dans le cours, on parle de service et de micro-service. Quelle différence entre les deux et comment savoir s'il faut développer un service ou un micro-service?;practice_spring_microservices_2;oui
none;Une architecture N-tiers découpe une application verticalement en n parties. Dans la pratique jusqu'à combien de niveaux on peut découper?;practice_spring_microservices;oui
none;Une architecture N-tiers découpe une application verticalement en n parties. Dans la pratique jusqu'à combien de niveaux on peut découper?;practice_spring_microservices_3;oui
none;Une architecture N-tiers découpe une application verticalement en n parties. Dans la pratique jusqu'à combien de niveaux on peut découper?;practice_spring_microservices_2;oui
none;Qu'est-ce qu'un patron de conception ?;practice_spring_2tiers;oui
none;Qu'est-ce qu'un patron de conception ?;practice_spring_2tiers_ext;oui
none;Qu'est-ce qu'un patron de conception ?;practice_jpa_advanced;oui
none;Qu'est-ce qu'un patron de conception ?;lecture_tests;oui
none;Qu'est-ce qu'un patron de conception ?;lecture_springboot_tests;oui
none;Qu'est-ce qu'un patron de conception ?;practice_spring_tests;oui
none;Qu'est-ce qu'un patron de conception ?;practice_spring_microservices;oui
none;Qu'est-ce qu'un patron de conception ?;practice_spring_microservices_3;oui
none;Qu'est-ce qu'un patron de conception ?;practice_spring_microservices_2;oui
none;Qu'est-ce qu'un patron de conception ?;lecture_json;oui
none;Qu'est-ce qu'un patron de conception ?;practice_json;oui
none;Qu'est-ce qu'un patron de conception ?;lecture_jpa_repository;oui
none;Qu'est-ce qu'un patron de conception ?;lecture_jpa_repository_advanced;oui
none;Qu'est-ce que le patron MVC?;practice_jpa;oui
none;Qu'est-ce que le patron MVC?;practice_spring_2tiers;oui
none;Qu'est-ce que le patron MVC?;practice_spring_2tiers_ext;oui
none;Qu'est-ce que le patron MVC?;practice_jpa_advanced;oui
none;Qu'est-ce que le patron MVC?;lecture_tests;oui
none;Qu'est-ce que le patron MVC?;lecture_springboot_tests;oui
none;Qu'est-ce que le patron MVC?;practice_spring_tests;oui
none;Qu'est-ce que le patron MVC?;practice_spring_microservices;oui
none;Qu'est-ce que le patron MVC?;practice_spring_microservices_3;oui
none;Qu'est-ce que le patron MVC?;practice_spring_microservices_2;oui
none;Qu'est-ce que le patron MVC?;lecture_json;oui
none;Qu'est-ce que le patron MVC?;practice_json;oui
none;Qu'est-ce que le patron MVC?;lecture_jpa_repository;oui
none;Qu'est-ce que le patron MVC?;lecture_jpa_repository_advanced;oui
none;Donne moi le nom de quelques patrons de conception;practice_jpa;oui
none;Donne moi le nom de quelques patrons de conception;practice_spring_2tiers;oui
none;Donne moi le nom de quelques patrons de conception;practice_spring_2tiers_ext;oui
none;Donne moi le nom de quelques patrons de conception;practice_jpa_advanced;oui
none;Donne moi le nom de quelques patrons de conception;lecture_tests;oui
none;Donne moi le nom de quelques patrons de conception;lecture_springboot_tests;oui
none;Donne moi le nom de quelques patrons de conception;practice_spring_tests;oui
none;Donne moi le nom de quelques patrons de conception;practice_spring_microservices;oui
none;Donne moi le nom de quelques patrons de conception;practice_spring_microservices_3;oui
none;Donne moi le nom de quelques patrons de conception;practice_spring_microservices_2;oui
none;Donne moi le nom de quelques patrons de conception;lecture_json;oui
none;Donne moi le nom de quelques patrons de conception;practice_json;oui
none;Donne moi le nom de quelques patrons de conception;lecture_jpa_repository;oui
none;Donne moi le nom de quelques patrons de conception;lecture_jpa_repository_advanced;oui
none;Explique moi avec des exemples ce que c'est la sérialisation/désérialisation;practice_json;oui
none;Donne moi le nom de quelques langages communément utilisés pour sérialiser/désérialiser des objets;practice_json;oui
none;Que veut dire l'acronyme DTO?;practice_json;oui
none;Pourquoi on n'utilise pas le patron DTO lors de la communication entre un SGBD et une application alors qu'il y a un transfert d'objet via le réseau?;practice_json;oui
none;Quelles sont les trois couches fonctionnelles qui structurent le code d'une application Web Spring?;practice_spring_2tiers;oui
none;Quelles sont les trois couches fonctionnelles qui structurent le code d'une application Web Spring?;practice_spring_2tiers_ext;oui
none;Quelles sont les trois couches fonctionnelles qui structurent le code d'une application Web Spring?;practice_jpa_advanced;oui
none;Quelles sont les trois couches fonctionnelles qui structurent le code d'une application Web Spring?;lecture_springboot_tests;oui
none;Quelles sont les trois couches fonctionnelles qui structurent le code d'une application Web Spring?;practice_spring_tests;oui
none;Quelles sont les trois couches fonctionnelles qui structurent le code d'une application Web Spring?;practice_spring_microservices_3;oui
none;Quelles sont les trois couches fonctionnelles qui structurent le code d'une application Web Spring?;practice_spring_microservices_2;oui
none;Qu'est-ce que c'est la couche applicative d'une application Spring?;practice_spring_2tiers;oui
none;Qu'est-ce que c'est la couche applicative d'une application Spring?;practice_spring_2tiers_ext;oui
none;Qu'est-ce que c'est la couche applicative d'une application Spring?;practice_jpa_advanced;oui
none;Qu'est-ce que c'est la couche applicative d'une application Spring?;lecture_springboot_tests;oui
none;Qu'est-ce que c'est la couche applicative d'une application Spring?;practice_spring_tests;oui
none;Qu'est-ce que c'est la couche applicative d'une application Spring?;practice_spring_microservices_3;oui
none;Qu'est-ce que c'est la couche applicative d'une application Spring?;practice_spring_microservices_2;oui
none;Quelle est la différence entre @Controller et @RestController?;practice_spring_2tiers;oui
none;Quelle est la différence entre @Controller et @RestController?;practice_spring_2tiers_ext;oui
none;Quelle est la différence entre @Controller et @RestController?;practice_jpa_advanced;oui
none;Quelle est la différence entre @Controller et @RestController?;lecture_springboot_tests;oui
none;Quelle est la différence entre @Controller et @RestController?;practice_spring_tests;oui
none;Quelle est la différence entre @Controller et @RestController?;practice_spring_microservices_3;oui
none;Quelle est la différence entre @Controller et @RestController?;practice_spring_microservices_2;oui
none;A quoi sert l'annotation @RequestMapping dans un contrôleur Spring?;practice_spring_2tiers;oui
none;A quoi sert l'annotation @RequestMapping dans un contrôleur Spring?;practice_spring_2tiers_ext;oui
none;A quoi sert l'annotation @RequestMapping dans un contrôleur Spring?;practice_jpa_advanced;oui
none;A quoi sert l'annotation @RequestMapping dans un contrôleur Spring?;lecture_springboot_tests;oui
none;A quoi sert l'annotation @RequestMapping dans un contrôleur Spring?;practice_spring_tests;oui
none;A quoi sert l'annotation @RequestMapping dans un contrôleur Spring?;practice_spring_microservices_3;oui
none;A quoi sert l'annotation @RequestMapping dans un contrôleur Spring?;practice_spring_microservices_2;oui
none;Dans quelle couche fonctionnelle d'une application Spring est utilisé le modèle MVC?;practice_spring_2tiers;oui
none;Dans quelle couche fonctionnelle d'une application Spring est utilisé le modèle MVC?;practice_spring_2tiers_ext;oui
none;Dans quelle couche fonctionnelle d'une application Spring est utilisé le modèle MVC?;practice_jpa_advanced;oui
none;Dans quelle couche fonctionnelle d'une application Spring est utilisé le modèle MVC?;lecture_springboot_tests;oui
none;Dans quelle couche fonctionnelle d'une application Spring est utilisé le modèle MVC?;practice_spring_tests;oui
none;Dans quelle couche fonctionnelle d'une application Spring est utilisé le modèle MVC?;practice_spring_microservices_3;oui
none;Dans quelle couche fonctionnelle d'une application Spring est utilisé le modèle MVC?;practice_spring_microservices_2;oui
none;Quel est le fichier qui contient les informations de connexion à la base de données en JPA/Spring?;lecture_jpa_repository_advanced;oui
none;Quel est le fichier qui contient les informations de connexion à la base de données en JPA/Spring?;practice_spring_2tiers;oui
none;Quel est le fichier qui contient les informations de connexion à la base de données en JPA/Spring?;practice_spring_2tiers_ext;oui
none;Quel est le fichier qui contient les informations de connexion à la base de données en JPA/Spring?;practice_jpa_advanced;oui
none;Quelle annotation JPA permet de modifier le nom de la colonne qui mappe un attribut d'une entité?;lecture_jpa_repository_advanced;oui
none;Quelle annotation JPA permet de modifier le nom de la colonne qui mappe un attribut d'une entité?;practice_spring_2tiers;oui
none;Quelle annotation JPA permet de modifier le nom de la colonne qui mappe un attribut d'une entité?;practice_spring_2tiers_ext;oui
none;Quelle annotation JPA permet de modifier le nom de la colonne qui mappe un attribut d'une entité?;practice_jpa_advanced;oui
none;Que veut dire qu'une instance d'une entité est détachée de l'entity manager?;lecture_jpa_repository_advanced;oui
none;Que veut dire qu'une instance d'une entité est détachée de l'entity manager?;practice_spring_2tiers;oui
none;Que veut dire qu'une instance d'une entité est détachée de l'entity manager?;practice_spring_2tiers_ext;oui
none;Que veut dire qu'une instance d'une entité est détachée de l'entity manager?;practice_jpa_advanced;oui
none;Quel est le rôle d'un ORM dans une application ?;lecture_jpa_repository_advanced;oui
none;Quel est le rôle d'un ORM dans une application ?;practice_spring_2tiers;oui
none;Quel est le rôle d'un ORM dans une application ?;practice_spring_2tiers_ext;oui
none;Quel est le rôle d'un ORM dans une application ?;practice_jpa_advanced;oui
none;Quelle est la méthode JPA qui permet d'instancier une entité et initialiser ses attributs avec des valeurs de la base de données ?;lecture_jpa_repository_advanced;oui
none;Quelle est la méthode JPA qui permet d'instancier une entité et initialiser ses attributs avec des valeurs de la base de données ?;practice_spring_2tiers;oui
none;Quelle est la méthode JPA qui permet d'instancier une entité et initialiser ses attributs avec des valeurs de la base de données ?;practice_spring_2tiers_ext;oui
none;Quelle est la méthode JPA qui permet d'instancier une entité et initialiser ses attributs avec des valeurs de la base de données ?;practice_jpa_advanced;oui
none;Comment faire en sorte que la base de données ne soit pas réinitialisée à chaque démarrage de l'application ?;practice_spring_2tiers_ext;oui
none;Comment indique-t-on dans le java qu'un attribut de classe correspond à une clé primaire autoincrémentée ?;practice_spring_2tiers_ext;oui
none;Où doit-on définir les méthodes CRUD d'une entité ?;practice_spring_2tiers_ext;oui
none;Quelles annotations permettent de définir des associations entre classes ?;practice_spring_2tiers_ext;oui
none;Est-ce que l'annotation @Column est indispensable pour indiquer qu'une propriété java doit être persistée ?;practice_spring_2tiers_ext;oui
none;Qu'est ce qu'un schéma logique ?;activity_conceptual_modeling_advanced;oui
none;Peux-tu me lister tous les types de dérivation possibles lorsque l'on passe d'un schéma conceptuel à un schéma logique ?;activity_conceptual_modeling_advanced;oui
none;est ce que Hibernate est une implémentation concrète de JPA.;lecture_jpa_repository_advanced;oui
none;est ce que Hibernate est une implémentation concrète de JPA.;practice_spring_2tiers;oui
none;est ce que Hibernate est une implémentation concrète de JPA.;practice_spring_2tiers_ext;oui
none;est ce que Hibernate est une implémentation concrète de JPA.;practice_jpa_advanced;oui
none;L’annotation @Entity sert à marquer une classe Java comme une table en base de données. vrai ou faux;lecture_jpa_repository_advanced;oui
none;L’annotation @Entity sert à marquer une classe Java comme une table en base de données. vrai ou faux;practice_spring_2tiers;oui
none;L’annotation @Entity sert à marquer une classe Java comme une table en base de données. vrai ou faux;practice_spring_2tiers_ext;oui
none;L’annotation @Entity sert à marquer une classe Java comme une table en base de données. vrai ou faux;practice_jpa_advanced;oui
none;L’annotation @Id indique quel attribut de la classe est utilisé comme clé primaire dans la table correspondante. vrai ou faux;lecture_jpa_repository_advanced;oui
none;L’annotation @Id indique quel attribut de la classe est utilisé comme clé primaire dans la table correspondante. vrai ou faux;practice_spring_2tiers;oui
none;L’annotation @Id indique quel attribut de la classe est utilisé comme clé primaire dans la table correspondante. vrai ou faux;practice_spring_2tiers_ext;oui
none;L’annotation @Id indique quel attribut de la classe est utilisé comme clé primaire dans la table correspondante. vrai ou faux;practice_jpa_advanced;oui
none;JPA est une API qui spécifie les méthodes disponibles pour gérer la persistance des objets. vrai ou faux;lecture_jpa_repository_advanced;oui
none;JPA est une API qui spécifie les méthodes disponibles pour gérer la persistance des objets. vrai ou faux;practice_spring_2tiers;oui
none;JPA est une API qui spécifie les méthodes disponibles pour gérer la persistance des objets. vrai ou faux;practice_spring_2tiers_ext;oui
none;JPA est une API qui spécifie les méthodes disponibles pour gérer la persistance des objets. vrai ou faux;practice_jpa_advanced;oui
none;Peut-on définir JPA comme une API qui spécifie les méthodes disponibles pour gérer la persistance des objets ?;lecture_jpa_repository_advanced;oui
none;Peut-on définir JPA comme une API qui spécifie les méthodes disponibles pour gérer la persistance des objets ?;practice_spring_2tiers;oui
none;Peut-on définir JPA comme une API qui spécifie les méthodes disponibles pour gérer la persistance des objets ?;practice_spring_2tiers_ext;oui
none;Peut-on définir JPA comme une API qui spécifie les méthodes disponibles pour gérer la persistance des objets ?;practice_jpa_advanced;oui
none;A quoi sert le principe de séparation de responsabilités?;practice_spring_microservices;oui
none;A quoi sert le principe de séparation de responsabilités?;practice_spring_microservices_3;oui
none;A quoi sert le principe de séparation de responsabilités?;practice_spring_microservices_2;oui
none;Dans une architecture N-tiers, le nombre de clients est limité au nombre de tiers. Comment adapter dynamiquement le nombre de tiers au nombre de clients?;practice_spring_microservices;oui
none;Dans une architecture N-tiers, le nombre de clients est limité au nombre de tiers. Comment adapter dynamiquement le nombre de tiers au nombre de clients?;practice_spring_microservices_3;oui
none;Dans une architecture N-tiers, le nombre de clients est limité au nombre de tiers. Comment adapter dynamiquement le nombre de tiers au nombre de clients?;practice_spring_microservices_2;oui
none;Comment sérialiser les méthodes d'une classe?;practice_json;oui
none;Quelle est l'utilité de l'annotation @Entity dans une application Spring?;practice_spring_2tiers;oui
none;Quelle est l'utilité de l'annotation @Entity dans une application Spring?;practice_spring_2tiers_ext;oui
none;Quelle est l'utilité de l'annotation @Entity dans une application Spring?;practice_jpa_advanced;oui
none;Quelle est l'utilité de l'annotation @Entity dans une application Spring?;lecture_springboot_tests;oui
none;Quelle est l'utilité de l'annotation @Entity dans une application Spring?;practice_spring_tests;oui
none;Quelle est l'utilité de l'annotation @Entity dans une application Spring?;practice_spring_microservices_3;oui
none;Quelle est l'utilité de l'annotation @Entity dans une application Spring?;practice_spring_microservices_2;oui
none;Quel est l'intérêt d'utiliser le patron DAO dans la couche données d'une application Spring?;practice_spring_2tiers;oui
none;Quel est l'intérêt d'utiliser le patron DAO dans la couche données d'une application Spring?;practice_spring_2tiers_ext;oui
none;Quel est l'intérêt d'utiliser le patron DAO dans la couche données d'une application Spring?;practice_jpa_advanced;oui
none;Quel est l'intérêt d'utiliser le patron DAO dans la couche données d'une application Spring?;lecture_springboot_tests;oui
none;Quel est l'intérêt d'utiliser le patron DAO dans la couche données d'une application Spring?;practice_spring_tests;oui
none;Quel est l'intérêt d'utiliser le patron DAO dans la couche données d'une application Spring?;practice_spring_microservices_3;oui
none;Quel est l'intérêt d'utiliser le patron DAO dans la couche données d'une application Spring?;practice_spring_microservices_2;oui
none;Qu'est-ce que le patron MVC?;practice_spring_2tiers;oui
none;Qu'est-ce que le patron MVC?;practice_spring_2tiers_ext;oui
none;Qu'est-ce que le patron MVC?;practice_jpa_advanced;oui
none;Qu'est-ce que le patron MVC?;lecture_springboot_tests;oui
none;Qu'est-ce que le patron MVC?;practice_spring_tests;oui
none;Qu'est-ce que le patron MVC?;practice_spring_microservices_3;oui
none;Qu'est-ce que le patron MVC?;practice_spring_microservices_2;oui
none;Qu'est-ce qu'une architecture technique?;practice_spring_2tiers;oui
none;Qu'est-ce qu'une architecture technique?;practice_spring_2tiers_ext;oui
none;Qu'est-ce qu'une architecture technique?;practice_jpa_advanced;oui
none;Qu'est-ce qu'une architecture technique?;lecture_springboot_tests;oui
none;Qu'est-ce qu'une architecture technique?;practice_spring_tests;oui
none;Qu'est-ce qu'une architecture technique?;practice_spring_microservices_3;oui
none;Qu'est-ce qu'une architecture technique?;practice_spring_microservices_2;oui
none;Qu'est-ce qu'un patron de conception ?;practice_spring_2tiers;oui
none;Qu'est-ce qu'un patron de conception ?;practice_spring_2tiers_ext;oui
none;Qu'est-ce qu'un patron de conception ?;practice_jpa_advanced;oui
none;Qu'est-ce qu'un patron de conception ?;lecture_springboot_tests;oui
none;Qu'est-ce qu'un patron de conception ?;practice_spring_tests;oui
none;Qu'est-ce qu'un patron de conception ?;practice_spring_microservices_3;oui
none;Qu'est-ce qu'un patron de conception ?;practice_spring_microservices_2;oui
none;Qu'est-ce que c'est la couche applicative d'une application Spring?;practice_spring_2tiers_ext;oui
none;C'est quoi un ORM ?;practice_spring_2tiers_ext;oui
none;À quoi sert JPA ?;practice_spring_2tiers_ext;oui
none;Quelles sont les trois couches fontionnelles qui structurent le code d'une application Web Spring?;practice_spring_2tiers_ext;oui
