timestamp;query;course;misalignment
none;Qu'est-ce qu'une architecture 2-tiers?;lecture_technical_architecture;non
none;Quelle est la différence entre une classe et un composant?;lecture_technical_architecture;non
none;Dans le cours, on parle de service et de micro-service. Quelle différence entre les deux et comment savoir s'il faut développer un service ou un micro-service?;lecture_technical_architecture;non
none;Une architecture N-tiers découpe une application verticalement en n parties. Dans la pratique jusqu'à combien de niveaux on peut découper?;lecture_technical_architecture;non
none;A quoi sert le principe de séparation de responsabilités?;lecture_technical_architecture;oui
none;Dans une architecture N-tiers, le nombre de clients est limité au nombre de tiers. Comment adapter dynamiquement le nombre de tiers au nombre de clients?;lecture_technical_architecture;oui
none;Quelle est la différence entre @Controller et @RestController?;lecture_technical_architecture;adv
none;A quoi sert l'annotation @RequestMapping dans un contrôleur Spring?;lecture_technical_architecture;adv
none;Quel est le fichier qui contient les informations de connexion à la base de données en JPA/Spring?;lecture_technical_architecture;adv
none;Quelle annotation JPA permet de modifier le nom de la colonne qui mappe un attribut d'une entité?;lecture_technical_architecture;adv
none;Que veut dire qu'une instance d'une entité est détachée de l'entity manager?;lecture_technical_architecture;adv
none;Qu'est-ce qu'un patron de conception ?;lecture_software_architecture;non
none;Qu'est-ce que le patron MVC?;lecture_software_architecture;non
none;Donne moi le nom de quelques patrons de conception;lecture_software_architecture;non
none;Quel est le rôle d'un ORM dans une application ?;lecture_software_architecture;adv
none;Quelle est la méthode JPA qui permet d'instancier une entité et initialiser ses attributs avec des valeurs de la base de données ?;lecture_software_architecture;adv
none;Quels sont les différents états d'un objet géré par l'entity manager ?;lecture_software_architecture;adv
none;Peux-tu me rappeler le nom d'un serveur d'application pour déployer une application Spring ?;lecture_software_architecture;adv
none;Peux-tu me dire comment associer une url à une méthode du contrôleur et indiquer qu'il attend un paramètre nommé city de type String par GET ?;lecture_software_architecture;adv
none;Explique moi avec des exemples ce que c'est la sérialisation/désérialisation;lecture_dto;non
none;Donne moi le nom de quelques langages communément utilisés pour sérialiser/désérialiser des objets;lecture_dto;non
none;Que veut dire l'acronyme DTO?;lecture_dto;non
none;Pourquoi on n'utilise pas le patron DTO lors de la communication entre un SGBD et une application alors qu'il y a un transfert d'objet via le réseau?;lecture_dto;non
none;Comment sérialiser les méthodes d'une classe?;lecture_dto;oui
none;Comment configurer un pom.xml pour effectuer un déploiement sur un serveur Wildfly ?;lecture_dto;adv
none;Est-ce que JSON est un langage approprié pour représenter un DTO ?;lecture_dto;adv
none;Comment faire en sorte que la base de données ne soit pas réinitialisée à chaque démarrage de l'application ?;lecture_dto;adv
none;Comment indique-t-on dans le java qu'un attribut de classe correspond à une clé primaire autoincrémentée ?;lecture_dto;adv
none;Y-a-il moyen de converitr directement un format XML en un format JSON et vise-vers-ça?;lecture_dto;adv
none;Où doit-on définir les méthodes CRUD d'une entité dans une application Java Spring?;lecture_dto;adv
none;Quelles sont les trois couches fonctionnelles qui structurent le code d'une application Web Spring?;lecture_mvc_spring;non
none;Qu'est-ce que c'est la couche applicative d'une application Spring?;lecture_mvc_spring;non
none;Quelle est la différence entre @Controller et @RestController?;lecture_mvc_spring;non
none;A quoi sert l'annotation @RequestMapping dans un contrôleur Spring?;lecture_mvc_spring;non
none;Dans quelle couche fonctionnelle d'une application Spring est utilisé le modèle MVC?;lecture_mvc_spring;non
none;Quelle est l'utilité de l'annotation @Entity dans une application Spring?;lecture_mvc_spring;oui
none;Quel est l'intérêt d'utiliser le patron DAO dans la couche données d'une application Spring?;lecture_mvc_spring;oui
none;Qu'est-ce que le patron MVC?;lecture_mvc_spring;oui
none;Qu'est-ce qu'une architecture technique?;lecture_mvc_spring;oui
none;Qu'est-ce qu'un patron de conception ?;lecture_mvc_spring;oui
none;Dis moi comment associer une méthode d'un contrôleur Spring avec une URL d'une page Web;lecture_mvc_spring;adv
none;Pourquoi les contrôleurs Spring n'utilisent pas directement  les méthodes des DAO ?;lecture_mvc_spring;adv
none;Rappele moi le nom de l'application qui permet d'accéder au contenu d'une base de données PostGreSQL;lecture_mvc_spring;adv
none;Quelle est l'utilité des templates Thymeleaf ?;lecture_mvc_spring;adv
none;Pourquoi l'annotation @Transactional est nécessaire pour certaines méthodes?;lecture_mvc_spring;adv
none;Dis moi comment associer une méthode d'un contrôleur Spring avec une URL d'une page Web;practice_spring_2tiers;non
none;Pourquoi les contrôleurs Spring n'utilisent pas directement  les méthodes des DAO ?;practice_spring_2tiers;non
none;Rappele moi le nom de l'application qui permet d'accéder au contenu d'une base de données PostGreSQL;practice_spring_2tiers;non
none;Quelle est l'utilité des templates Thymeleaf ?;practice_spring_2tiers;non
none;Pourquoi l'annotation @Transactional est nécessaire pour certaines méthodes?;practice_spring_2tiers;non
none;Qu'est-ce qu'est le patron DAO ?;practice_spring_2tiers;oui
none;Que veut dire CRUD ?;practice_spring_2tiers;oui
none;Qu'est-ce qu'une architecture 2-tiers?;practice_spring_2tiers;oui
none;Quelle est la différence entre @Controller et @RestController ?;practice_spring_2tiers;adv
none;Comment configurer un pom.xml pour effectuer un déploiement sur un serveur Wildfly ?;practice_spring_2tiers;adv
none;Est-ce que JSON est un langage approprié pour représenter un DTO ?;practice_spring_2tiers;adv
none;Peux-tu me dire comment associer une url à une méthode du contrôleur et indiquer qu'il attend un paramètre nommé city de type String par GET ?;practice_spring_2tiers;adv
none;Peux-tu me rappeler le nom d'un serveur d'application pour déployer une application Spring ?;practice_spring_2tiers;adv
none;Quel est le fichier qui contient les informations de connexion à la base de données en JPA/Spring?;lecture_jpa;non
none;Quelle annotation JPA permet de modifier le nom de la colonne qui mappe un attribut d'une entité?;lecture_jpa;non
none;Que veut dire qu'une instance d'une entité est détachée de l'entity manager?;lecture_jpa;non
none;Quel est le rôle d'un ORM dans une application ?;lecture_jpa;non
none;Quelle est la méthode JPA qui permet d'instancier une entité et initialiser ses attributs avec des valeurs de la base de données ?;lecture_jpa;non
none;Comment faire en sorte que la base de données ne soit pas réinitialisée à chaque démarrage de l'application ?;lecture_jpa;adv
none;Comment indique-t-on dans le code Java qu'un attribut correspond à une clé primaire autoincrémentée ?;lecture_jpa;adv
none;Où doit-on définir les méthodes CRUD d'une entité ?;lecture_jpa;adv
none;Quelles annotations permettent de définir des associations entre classes ?;lecture_jpa;adv
none;Est-ce que l'annotation @Column est indispensable pour indiquer qu'une propriété Java doit être persistée ?;lecture_jpa;adv
none;Comment faire en sorte que la base de données ne soit pas réinitialisée à chaque démarrage de l'application ?;practice_jpa;non
none;Comment indique-t-on dans le java qu'un attribut de classe correspond à une clé primaire autoincrémentée ?;practice_jpa;non
none;Où doit-on définir les méthodes CRUD d'une entité ?;practice_jpa;non
none;Quelles annotations permettent de définir des associations entre classes ?;practice_jpa;non
none;Est-ce que l'annotation @Column est indispensable pour indiquer qu'une propriété java doit être persistée ?;practice_jpa;non
none;Qu'est-ce que c'est la couche applicative d'une application Spring?;practice_jpa;oui
none;C'est quoi un ORM ?;practice_jpa;oui
none;À quoi sert JPA ?;practice_jpa;oui
none;Quelles sont les trois couches fontionnelles qui structurent le code d'une application Web Spring?;practice_jpa;oui
none;Quelle est la différence entre @Controller et @RestController ?;practice_jpa;adv
none;Peux-tu me rappeler le nom d'un serveur d'application pour déployer une application Spring ?;practice_jpa;adv
none;Peux-tu me dire comment associer une url à une méthode du contrôleur et indiquer qu'il attend un paramètre nommé city de type String par GET ?;practice_jpa;adv
none;Comment configurer un pom.xml pour effectuer un déploiement sur un serveur Wildfly ?;practice_jpa;adv
none;Est-ce que JSON est un langage approprié pour représenter un DTO ?;practice_jpa;adv
none;Quel est la classe Java qui gère la persistance des objets Java ?;practice_jpa_advanced;non
none;Comment indiquer une récupération différée des objets liés à une classe ?;practice_jpa_advanced;non
none;Quels sont les différents états d'un objet géré par l'entity manager ?;practice_jpa_advanced;non
none;Quelle est la différence entre merge et persist ?;practice_jpa_advanced;non
none;Quel est le lien entre contexte transactionnel et EntityManager ?;practice_jpa_advanced;non
none;C'est quoi un ORM ?;practice_jpa_advanced;oui
none;À quoi sert JPA ?;practice_jpa_advanced;oui
none;Comment faire en sorte que la base de données ne soit pas réinitialisée à chaque démarrage de l'application ?;practice_jpa_advanced;oui
none;Comment indique-t-on dans le java qu'un attribut de classe correspond à une clé primaire autoincrémentée ?;practice_jpa_advanced;oui
none;Où doit-on définir les méthodes CRUD d'une entité ?;practice_jpa_advanced;oui
none;Quelle est la différence entre @Controller et @RestController ?;practice_spring_2tiers_ext;non
none;Peux-tu me rappeler le nom d'un serveur d'application pour déployer une application Spring ?;practice_spring_2tiers_ext;non
none;Peux-tu me dire comment associer une url à une méthode du contrôleur et indiquer qu'il attend un paramètre nommé city de type String par GET ?;practice_spring_2tiers_ext;non
none;Comment configurer un pom.xml pour effectuer un déploiement sur un serveur Wildfly ?;practice_spring_2tiers_ext;non
none;Est-ce que JSON est un langage approprié pour représenter un DTO ?;practice_spring_2tiers_ext;non
none;C'est quoi une architecture multi-tiers ?;practice_spring_2tiers_ext;oui
none;Quelles sont les trois couches fontionnelles qui structurent le code d'une application Web Spring?;practice_spring_2tiers_ext;oui
none;Pourquoi a-t-on besoin d'un serveur d'application ?;practice_spring_2tiers_ext;oui
none;C'est quoi un ORM ?;practice_spring_2tiers_ext;oui
none;À quoi sert JPA ?;practice_spring_2tiers_ext;oui
